mode,tu_size,tu_area,active_area,iterations,wall_ns,checksum,alloc_bytes
baseline,4,16,16,3000,181947660,0,0
baseline,8,64,64,3000,149506463,0,0
baseline,16,256,256,3000,161360088,0,0
baseline,32,1024,1024,3000,140230922,0,0
baseline,64,4096,4096,3000,145247113,0,0
subarray,4,16,16,3000,1158112,0,0
subarray,8,64,64,3000,2701934,0,0
subarray,16,256,256,3000,5325224,0,0
subarray,32,1024,1024,3000,29061006,0,0
subarray,64,4096,4096,3000,94543263,0,0
earlyexit,4,16,16,3000,1665436,0,0
earlyexit,8,64,64,3000,4291243,0,0
earlyexit,16,256,256,3000,17004929,0,0
earlyexit,32,1024,1024,3000,50892900,0,0
earlyexit,64,4096,4096,3000,145272829,0,0
t4x4,4,16,16,3000,776355,0,0
t4x4,8,64,64,3000,712700,0,0
t4x4,16,256,256,3000,610450,0,0
t4x4,32,1024,1024,3000,759665,0,0
t4x4,64,4096,4096,3000,648502,0,0
t8x8,4,16,16,3000,2768933,0,0
t8x8,8,64,64,3000,2673207,0,0
t8x8,16,256,256,3000,3798090,0,0
t8x8,32,1024,1024,3000,2623736,0,0
t8x8,64,4096,4096,3000,2618146,0,0
t16x16,4,16,16,3000,11508871,0,0
t16x16,8,64,64,3000,10340292,0,0
t16x16,16,256,256,3000,11322810,0,0
t16x16,32,1024,1024,3000,12235380,0,0
t16x16,64,4096,4096,3000,9437372,0,0
t32x32,4,16,16,3000,42867855,0,0
t32x32,8,64,64,3000,55683950,0,0
t32x32,16,256,256,3000,44184839,0,0
t32x32,32,1024,1024,3000,34607841,0,0
t32x32,64,4096,4096,3000,40401651,0,0
t64x64,4,16,16,3000,143632303,0,0
t64x64,8,64,64,3000,145068016,0,0
t64x64,16,256,256,3000,135885332,0,0
t64x64,32,1024,1024,3000,148543676,0,0
t64x64,64,4096,4096,3000,143204609,0,0
