mode,tu_size,tu_area,active_area,iterations,cycles,instructions,ipc,l1_loads,l1_misses,l1_miss_rate,llc_loads,llc_misses,llc_miss_rate,cache_refs,cache_misses,cache_miss_rate,wall_s,ns_per_iter
baseline,4,16,16,5000,920135555,1887118384,2.05,45885823,751148,1.63,33173,6725,20.27,6710554,156940,2.33,0.244392322,48878.46
baseline,8,64,64,5000,909223460,1887013086,2.07,45877753,711931,1.55,34072,8048,23.62,4767274,209295,4.39,0.242885638,48577.12
baseline,16,256,256,5000,880973610,1887334714,2.14,45884366,678923,1.47,28086,8230,29.30,2361630,171004,7.24,0.239572429,47914.48
baseline,32,1024,1024,5000,927797428,1888255927,2.03,45940783,701576,1.52,33356,7600,22.78,7585188,176394,2.32,0.250529757,50105.95
baseline,64,4096,4096,5000,899374725,1888025793,2.09,45862536,663903,1.44,31974,5942,18.58,6348631,164077,2.58,0.241094623,48218.92
subarray,4,16,16,5000,17730975,28179867,1.58,5802308,38447,.66,11828,6303,53.28,131541,73798,56.10,0.010236043,2047.20
subarray,8,64,64,5000,22472777,52770974,2.34,6801593,31524,.46,9730,3800,39.05,113188,64984,57.41,0.008347894,1669.57
subarray,16,256,256,5000,41955202,141311228,3.36,9588664,34875,.36,10445,4357,41.71,118408,72996,61.64,0.015113230,3022.64
subarray,32,1024,1024,5000,164628798,487924217,2.96,21067574,77514,.36,12074,5566,46.09,142814,83085,58.17,0.045706207,9141.24
subarray,64,4096,4096,5000,598975071,1874254662,3.12,67481343,101813,.15,17773,6131,34.49,315914,138801,43.93,0.162330526,32466.10
earlyexit,4,16,16,5000,21841896,25344422,1.16,4791377,45144,.94,9276,3420,36.86,103538,58088,56.10,0.006764909,1352.98
earlyexit,8,64,64,5000,25730613,45759903,1.77,5061436,71280,1.40,11389,6103,53.58,123696,69087,55.85,0.011897676,2379.53
earlyexit,16,256,256,5000,65468415,135811076,2.07,7053287,69830,.99,11769,4501,38.24,131667,64407,48.91,0.022139392,4427.87
earlyexit,32,1024,1024,5000,225777588,488538753,2.16,14773172,170907,1.15,11794,4685,39.72,133534,72479,54.27,0.064580631,12916.12
earlyexit,64,4096,4096,5000,891985010,1887181705,2.11,45886264,719595,1.56,35183,7461,21.20,4153672,161200,3.88,0.242717045,48543.40
t4x4,4,16,16,5000,6404886,14743061,2.30,1608263,39772,2.47,12612,4744,37.61,98661,44090,44.68,0.003005446,601.08
t4x4,8,64,64,5000,6478575,14757375,2.27,1613653,36741,2.27,11391,4984,43.75,108013,58956,54.58,0.003889832,777.96
t4x4,16,256,256,5000,5667298,13410069,2.36,1467157,32369,2.20,10171,5570,54.76,98940,59186,59.82,0.005926150,1185.23
t4x4,32,1024,1024,5000,5951678,14067885,2.36,1539070,33758,2.19,10487,4269,40.70,95651,49393,51.63,0.003074133,614.82
t4x4,64,4096,4096,5000,6242092,13697255,2.19,1503393,35256,2.34,11527,5822,50.50,106076,61333,57.81,0.004839086,967.81
t8x8,4,16,16,5000,11837527,37782852,3.19,2040399,32296,1.58,10138,3353,33.07,93425,46243,49.49,0.004067428,813.48
t8x8,8,64,64,5000,11494573,37057107,3.22,2008340,31273,1.55,9627,3772,39.18,88452,42126,47.62,0.005832752,1166.55
t8x8,16,256,256,5000,11313574,36362217,3.21,1967679,29935,1.52,9444,3287,34.80,90548,44929,49.61,0.005390899,1078.17
t8x8,32,1024,1024,5000,12252772,35991062,2.93,1951512,37840,1.93,11843,4462,37.67,93945,41439,44.10,0.005320341,1064.06
t8x8,64,4096,4096,5000,11498448,36867605,3.20,1984669,30539,1.53,10077,3802,37.72,93654,47669,50.89,0.005230977,1046.19
t16x16,4,16,16,5000,38333527,122062600,3.18,3978125,42448,1.06,10183,4568,44.85,97051,50357,51.88,0.015998605,3199.72
t16x16,8,64,64,5000,39232393,122698224,3.12,3999995,38994,.97,10105,4015,39.73,98884,47183,47.71,0.014789718,2957.94
t16x16,16,256,256,5000,36162626,117266941,3.24,4029614,42195,1.04,10052,5225,51.97,101452,58660,57.82,0.016642592,3328.51
t16x16,32,1024,1024,5000,37035759,116890573,3.15,3993450,41944,1.05,10878,6952,63.90,112833,61313,54.33,0.014000539,2800.10
t16x16,64,4096,4096,5000,40443877,124795429,3.08,4053965,42665,1.05,9508,3633,38.20,92413,46782,50.62,0.012116103,2423.22
t32x32,4,16,16,5000,220314372,457906205,2.07,12319962,161034,1.30,11925,4259,35.71,131812,61673,46.78,0.061473163,12294.63
t32x32,8,64,64,5000,213062029,453785613,2.12,12415342,155119,1.24,13046,4515,34.60,132357,56265,42.51,0.060645330,12129.06
t32x32,16,256,256,5000,218974685,459093511,2.09,12357350,154144,1.24,11580,3788,32.71,115969,58635,50.56,0.063197228,12639.44
t32x32,32,1024,1024,5000,223949148,458791614,2.04,12350197,172335,1.39,12026,4617,38.39,132776,62894,47.36,0.065709994,13141.99
t32x32,64,4096,4096,5000,220956012,457561267,2.07,12308926,148531,1.20,12276,4185,34.09,117338,58888,50.18,0.061913340,12382.66
t64x64,4,16,16,5000,891222076,1804104809,2.02,45819741,682945,1.49,28668,8027,27.99,3821705,148636,3.88,0.236231552,47246.31
t64x64,8,64,64,5000,1132243814,1803668558,1.59,45896913,1326227,2.88,65670,7919,12.05,11933923,183819,1.54,0.299688011,59937.60
t64x64,16,256,256,5000,887409618,1800720236,2.02,45951657,721281,1.56,26319,10281,39.06,3382724,165028,4.87,0.235111374,47022.27
t64x64,32,1024,1024,5000,876816597,1805770532,2.05,45867038,690080,1.50,25996,6927,26.64,1686098,182840,10.84,0.237919048,47583.80
