mode,tu_size,tu_area,active_area,iterations,wall_ns,checksum,alloc_bytes
baseline,4,16,16,50000,2348593021,0,770048
baseline,8,64,64,50000,2277846345,0,770048
baseline,16,256,256,50000,2426925178,0,770048
baseline,32,1024,1024,50000,2321833629,0,770048
baseline,64,4096,4096,50000,2293643197,0,770048
subarray,4,16,16,50000,6072534,0,1025728
subarray,8,64,64,50000,17605750,0,1025728
subarray,16,256,256,50000,64397711,0,1025728
subarray,32,1024,1024,50000,399689291,0,1025728
subarray,64,4096,4096,50000,1528558146,0,1025728
earlyexit,4,16,16,50000,27194846,0,770048
earlyexit,8,64,64,50000,43262335,0,770048
earlyexit,16,256,256,50000,162031553,0,770048
earlyexit,32,1024,1024,50000,565338774,0,770048
earlyexit,64,4096,4096,50000,2285256667,0,770048
template_4x4,4,16,16,50000,4857217,0,3016
template_4x4,8,64,64,50000,4471860,0,3016
template_4x4,16,256,256,50000,4781657,0,3016
template_4x4,32,1024,1024,50000,6892049,0,3016
template_4x4,64,4096,4096,50000,6594528,0,3016
template_8x8,4,16,16,50000,26241879,0,12040
template_8x8,8,64,64,50000,23634556,0,12040
template_8x8,16,256,256,50000,23115910,0,12040
template_8x8,32,1024,1024,50000,22088741,0,12040
template_8x8,64,4096,4096,50000,21865471,0,12040
template_16x16,4,16,16,50000,85753781,0,48136
template_16x16,8,64,64,50000,88332061,0,48136
template_16x16,16,256,256,50000,88509798,0,48136
template_16x16,32,1024,1024,50000,90339846,0,48136
template_16x16,64,4096,4096,50000,83992017,0,48136
template_32x32,4,16,16,50000,588008420,0,192520
template_32x32,8,64,64,50000,570688297,0,192520
template_32x32,16,256,256,50000,601049837,0,192520
template_32x32,32,1024,1024,50000,567803217,0,192520
template_32x32,64,4096,4096,50000,565991489,0,192520
template_64x64,4,16,16,50000,2319607485,0,770056
template_64x64,8,64,64,50000,2316542685,0,770056
template_64x64,16,256,256,50000,2271087247,0,770056
template_64x64,32,1024,1024,50000,2281270444,0,770056
template_64x64,64,4096,4096,50000,2246029890,0,770056
